Genus,species,URL,Primary Research,Environment,Domain,Phylum/Kingdom,Netid,Environment Notes,,
Alcaligenes,faecalis,https://microbewiki.kenyon.edu/index.php/Alcaligenes_faecalis,Pathogen,General,Bacteria,Proteobacteria,Precompleted,"soil, water, human eyes",,
Alcaligenes,xylosoxidans,https://microbewiki.kenyon.edu/index.php/Alcaligenes_xylosoxidans,Pathogen,General,Bacteria,Betaproteobacteria,Precompleted,"soil, water, immuno-compromised humans",,
Alcanivorax,borkumensis,https://microbewiki.kenyon.edu/index.php/Alcanivorax_borkumensis,Bioremediation,Marine,Bacteria,Proteobacteria,Precompleted,Oil-degrading,,
Alexandrium,fundyense,https://microbewiki.kenyon.edu/index.php/Alexandrium_fundyense,Environmental Microbiome,Marine,Eukaryota,Dinoflagellata ,Precompleted,low saline,,
Alexandrium,tamarense,https://microbewiki.kenyon.edu/index.php/Alexandrium_tamarense,Environmental Microbiome,Marine,Eukaryota,Dinophyta,Precompleted,Causes algal blooms ,,
Alicycliphilus,denitrificans,https://microbewiki.kenyon.edu/index.php/Alicycliphilus_denitrificans,Bioremediation,Aquatic and Soil,Bacteria,Proteobacteria,Precompleted,Wastewater plants,,
Allochromatium,vinosum,https://microbewiki.kenyon.edu/index.php/Allochromatium_vinosum,Bioremediation,Aquatic and Marine,Bacteria,Proteobacteria,Precompleted,,,
Amoeba,proteus,https://microbewiki.kenyon.edu/index.php/Amoeba_proteus,Environmental Microbiome,Aquatic ,Eukaryota,Tubulinea,Precompleted,,,
Amphibacillus,fermentum,https://microbewiki.kenyon.edu/index.php/Amphibacillus_fermentum,Extremophile,Alkaliphile,Bacteria,Firmicutes,Precompleted,Alkaline,,
Amphibacillus,xylanus,https://microbewiki.kenyon.edu/index.php/Amphibacillus_xylanus,Environmental Microbiome,Alkaliphile,Bacteria,Firmicutes,Precompleted,,,
Anabaena,azollae,https://microbewiki.kenyon.edu/index.php/Anabaena_azollae,Environmental Microbiome,Plant Host,Bacteria,Cyanobacteria,Precompleted,,,
Anabaena,variabilis,https://microbewiki.kenyon.edu/index.php/Anabaena_variabilis,Environmental Microbiome,Aquatic,Bacteria,Cyanobacteria,Precompleted,,,
Anaeromyxobacter,dehalogenans,https://microbewiki.kenyon.edu/index.php/Anaeromyxobacter_dehalogenans,Environmental Microbiome,Soil,Bacteria,Proteobacteria,Precompleted,,,
Anaplasma,marginale,https://microbewiki.kenyon.edu/index.php/Anaplasma_marginale,Animal Microbiome,Animal Host,Bacteria,Proteobacteria,Precompleted,,,
Anaplasma,phagocytophilum,https://microbewiki.kenyon.edu/index.php/Anaplasma_phagocytophilum,Pathogen,Animal Host,Bacteria,Proteobacteria,Precompleted,,,
Aquaspirillum,bengal,https://microbewiki.kenyon.edu/index.php/Aquaspirillum_bengal,Misc,Aquatic,Bacteria,Protepbacteria,Precompleted,,,
Aquifex,aeolicus,https://microbewiki.kenyon.edu/index.php/Aquifex_aeolicus,Environmental Microbiome,Thermophile,Bacteria,Aquificae,Precompleted,Underwater Volcano,,
Aquifex,pyrophilus,https://microbewiki.kenyon.edu/index.php/Aquifex_pyrophilus,Environmental Microbiome,Thermophile,Bacteria,Aquificae,Precompleted,underwater Volcano,,hot springs
Aquimarina,macrocephali,https://microbewiki.kenyon.edu/index.php/Aquimarina_macrocephali,Animal Microbiome,Marine,Bacteria,Bacteroidetes,Precompleted,near or on animals/carcass,,
Arbuscular,mycorrhizae,https://microbewiki.kenyon.edu/index.php/Arbuscular_mycorrhizae,Rhizosphere,Soil,Eukaryota,Fungi,Precompleted,,,
Archaeoglobus,fulgidus,https://microbewiki.kenyon.edu/index.php/Archaeoglobus_fulgidus,Environmental Microbiome,Thermophile,Archaea ,Euryarchaeota,Precompleted,hydrothermal environments,,
Arthrobacter,globiformis,https://microbewiki.kenyon.edu/index.php/Arthrobacter_globiformis,Rhizosphere,Soil,Bacteria,Actinobacteria,Precompleted,,,
Arthrobacter,oxydans,https://microbewiki.kenyon.edu/index.php/Arthrobacter_oxydans,Environmental Microbiome,Soil,Bacteria,Actinobacteria,Precompleted,,,
Arthrobacter,rhombi,https://microbewiki.kenyon.edu/index.php/Arthrobacter_rhombi,Animal Microbiome,Animal Host,Bacteria,Actinobacteria,Precompleted,Greenland Halibut,,
Arthrospira,maxima,https://microbewiki.kenyon.edu/index.php/Arthrospira_maxima,Environmental Microbiome,Aquatic,Bacteria,Cyanobacteria,Precompleted,Soda Lakes,,
Arthrospira,platensis,https://microbewiki.kenyon.edu/index.php/Arthrospira_platensis,Industrial,Aquatic,Bacteria,Cyanobacteria,Precompleted,Alkaline,,
Ashbya,gossypii,https://microbewiki.kenyon.edu/index.php/Ashbya_gossypii,Misc,Soil,Eukaryota,Ascomycota,Precompleted,,,
Aspergillus,Glaucus,https://microbewiki.kenyon.edu/index.php/Aspergillus_Glaucus,Misc,General,Eukaryota,Ascomycota,Precompleted,"dry, sugary, salty enviroments",,
Aspergillus,flavus,https://microbewiki.kenyon.edu/index.php/Aspergillus_flavus,Pathogen,General,Eukaryota,Ascomycota,Precompleted,,,
Aspergillus,fumigatus,https://microbewiki.kenyon.edu/index.php/Aspergillus_fumigatus,Pathogen,Soil,Eukaryota,Dikarya,Precompleted,decaying plant matter,,
Aspergillus,niger,https://microbewiki.kenyon.edu/index.php/Aspergillus_niger,Bioremediation,Soil,Eukaryota,Dikarya,Precompleted,decaying plant matter,,
Aspergillus,oryzae,https://microbewiki.kenyon.edu/index.php/Aspergillus_oryzae,Rhizosphere,General,Eukaryota,Eurotiomycetes,Precompleted,used in food industry,,
Azoarcus,tolulyticus,https://microbewiki.kenyon.edu/index.php/Azoarcus_tolulyticus,Bioremediation,Aquatic and Soil,Bacteria,Proteobacteria,Precompleted,anoxic underground ,,
Azospirillum,brasilense,https://microbewiki.kenyon.edu/index.php/Azospirillum_brasilense,Rhizosphere,Plant Host,Bacteria,Proteobacteria,Precompleted,Rhizosphere,,
Azospirillum,lipoferum,https://microbewiki.kenyon.edu/index.php/Azospirillum_lipoferum,Rhizosphere,Plant Host,Bacteria,Proteobacteria,Precompleted,root plants,,
Babesia,canis,https://microbewiki.kenyon.edu/index.php/Babesia_canis,Pathogen,Unknown ,Eukaryota,Alveolata,Precompleted,,,
Bacillus,Marisflavi,https://microbewiki.kenyon.edu/index.php/Bacillus_Marisflavi,Bioremediation,Soil,Bacteria,Firmicutes,Precompleted,Yellow Sea Tidal Flats,,
Bacillus,Unknown,https://microbewiki.kenyon.edu/index.php/Bacillus_Unknown,Misc,Soil,Bacteria,Firmicutes,Precompleted,,,
Bacillus,amyloliquefaciens,https://microbewiki.kenyon.edu/index.php/Bacillus_amyloliquefaciens,Misc,Soil,Bacteria,Firmicutes,Precompleted,,,
Bacillus,anthracis,https://microbewiki.kenyon.edu/index.php/Bacillus_anthracis,Pathogen,Soil,Bacteria,Firmicutes,Precompleted,,,
Bacillus,cereus,https://microbewiki.kenyon.edu/index.php/Bacillus_cereus,Rhizosphere,Soil,Bacteria,Firmicutes,Precompleted,Rhizosphere,,
Bacillus,chagannorensis,https://microbewiki.kenyon.edu/index.php/Bacillus_chagannorensis,Pathogen,Aquatic,Bacteria,Firmicutes,Precompleted,water over 37 C in China,,
Bacillus,circulans,https://microbewiki.kenyon.edu/index.php/Bacillus_circulans,Pathogen,Generalist,Bacteria,Firmicutes,Precompleted,,,
Bacillus,clausii,https://microbewiki.kenyon.edu/index.php/Bacillus_clausii,Environmental Microbiome,Soil,Bacteria,Firmicutes,Precompleted,,,
Bacillus,coagulase,https://microbewiki.kenyon.edu/index.php/Bacillus_coagulase,Animal Microbiome,Animal Host,Bacteria,Firmicutes,Precompleted,,,
Bacillus,endoradicis,https://microbewiki.kenyon.edu/index.php/Bacillus_endoradicis,Rhizosphere,Plant Host,Bacteria,Firmicutes,Precompleted,soybean roots,,
Bacillus,infantis,https://microbewiki.kenyon.edu/index.php/Bacillus_infantis,Pathogen,Marine,Bacteria,Firmicutes,Precompleted,,,
Bacillus,infernus,https://microbewiki.kenyon.edu/index.php/Bacillus_infernus,Environmental Microbiome,Soil,Bacteria,Firmicutes,dmolik,Deep terrestrial subsurface,,
Bacillus,licheniformis,https://microbewiki.kenyon.edu/index.php/Bacillus_licheniformis,Pathogen,Soil,Bacteria,Firmicutes,Precompleted,Plant matter,,
Bacillus,megaterium,https://microbewiki.kenyon.edu/index.php/Bacillus_megaterium,Misc,Soil,Bacteria,Firmicutes,Precompleted,,,
Bacillus,mucilaginosus,https://microbewiki.kenyon.edu/index.php/Bacillus_mucilaginosus,Rhizosphere,Soil,Bacteria,Firmicutes,Precompleted,Rhizosphere,,
Bacillus,mycoides,https://microbewiki.kenyon.edu/index.php/Bacillus_mycoides,Rhizosphere,Soil,Bacteria,Firmicutes,Precompleted,,,
Bacillus,oceanisediminis,https://microbewiki.kenyon.edu/index.php/Bacillus_oceanisediminis,Environmental Microbiome,Sediment,Bacteria,Firmicutes,Precompleted,marine sediment ,,
Bacillus,odysseyi,https://microbewiki.kenyon.edu/index.php/Bacillus_odysseyi,Misc,Unknown ,Bacteria,Firmicutes,Precompleted,Mars Odysseyi Spacecraft,,
Bacillus,pumilis,https://microbewiki.kenyon.edu/index.php/Bacillus_pumilis,Misc,Soil,Bacteria,Firmicutes,Precompleted,,,
Bacillus,pumilus,https://microbewiki.kenyon.edu/index.php/Bacillus_pumilus,Rhizosphere,Soil,Bacteria,Firmicutes,Precompleted,sometimes plant roots,,
Bacillus,selenatarsenatis,https://microbewiki.kenyon.edu/index.php/Bacillus_selenatarsenatis,Industrial,Unknown,Bacteria,Firmicutes,Precompleted,Sediment,,
Bacillus,stearothermophilus,https://microbewiki.kenyon.edu/index.php/Bacillus_stearothermophilus,Environmental Microbiome,General,Bacteria,Firmicutes,Precompleted,Sediment,,
Bacillus,stratosphericus,https://microbewiki.kenyon.edu/index.php/Bacillus_stratosphericus,Environmental Microbiome,General,Bacteria,Firmicutes,Precompleted,,,
Bacillus,subtilis,https://microbewiki.kenyon.edu/index.php/Bacillus_subtilis,Environmental Microbiome,Soil,Bacteria,Firmicutes,Precompleted,Rhizosphere,,
Bacillus,thuringiensis,https://microbewiki.kenyon.edu/index.php/Bacillus_thuringiensis,Animal Microbiome,Animal Host,Bacteria,Firmicutes,Precompleted,,,
Bacterioides,cellulosilyticus,https://microbewiki.kenyon.edu/index.php/Bacterioides_cellulosilyticus,Pathogen,Animal Host,Bacteria,Bacteroidetes,Precompleted,,,
Bacteroides,Fluxus,https://microbewiki.kenyon.edu/index.php/Bacteroides_Fluxus,Pathogen,Animal Host,Bacteria,Bacteroidetes,Precompleted,,,
Bacteroides,barnesiae,https://microbewiki.kenyon.edu/index.php/Bacteroides_barnesiae,Misc,Animal Host,Bacteria,Bacteroidetes,Precompleted,,,
Bacteroides,coprosuis,https://microbewiki.kenyon.edu/index.php/Bacteroides_coprosuis,Pathogen,Unknown,Bacteria,Bacteroidetes,Precompleted,manure,,
Bacteroides,dorei,https://microbewiki.kenyon.edu/index.php/Bacteroides_dorei,Pathogen,Animal Host,Bacteria,Bacteroidetes,Precompleted,,,
Bacteroides,faecis,https://microbewiki.kenyon.edu/index.php/Bacteroides_faecis,Pathogen,Animal Host,Bacteria,Bacteroidetes,Precompleted,human mouth,,
Bacteroides,finegoldii,https://microbewiki.kenyon.edu/index.php/Bacteroides_finegoldii,Pathogen,Animal Host,Bacteria,Bacteroidetes,Precompleted,human feces,,
Bacteroides,intestinalis,https://microbewiki.kenyon.edu/index.php/Bacteroides_intestinalis,Pathogen,Animal Host,Bacteria,Bacteroidetes,Precompleted,humna feces,,
Bacteroides,loescheii,https://microbewiki.kenyon.edu/index.php/Bacteroides_loescheii,Pathogen,Animal Host,Bacteria,Bacteroidetes,Precompleted,human mouth,,
Bacteroides,salanitronis,https://microbewiki.kenyon.edu/index.php/Bacteroides_salanitronis,Pathogen,Animal Host,Bacteria,Bacteroidetes,Precompleted,chicken intestine,,
Bacteroides,thetaiotaomicron,https://microbewiki.kenyon.edu/index.php/Bacteroides_thetaiotaomicron,Pathogen,Animal Host,Bacteria,Bacteroidetes,Precompleted,intestine,,
Bacteroides,xylanisolvens,https://microbewiki.kenyon.edu/index.php/Bacteroides_xylanisolvens,Pathogen,Animal Host,Bacteria,Bacteroidetes,Precompleted,intestine,,
Balantidium,coli,https://microbewiki.kenyon.edu/index.php/Balantidium_coli,Pathogen,Animal Host,Eukaryota,Ciliophora,Precompleted,pathogen,,
Balneola,vulgaris,https://microbewiki.kenyon.edu/index.php/Balneola_vulgaris,Environmental Microbiome,Marine,Bacteria,Bacteroidetes,Precompleted,,,
Bartonella,bacilliformis,https://microbewiki.kenyon.edu/index.php/Bartonella_bacilliformis,Pathogen,Animal Host,Bacteria,Proteobacteria,Precompleted,,,
Bartonella,henselae,https://microbewiki.kenyon.edu/index.php/Bartonella_henselae,Pathogen,Animal Host,Bacteria,Proteobacteria,jotousa,,,
Bartonella,quintana,https://microbewiki.kenyon.edu/index.php/Bartonella_quintana,Pathogen,Animal Host,Bacteria,Proteobacteria,charrin3,blood,,
Batrachochytrium,dendrobatidis,https://microbewiki.kenyon.edu/index.php/Batrachochytrium_dendrobatidis,Pathogen,Animal Host,Eukaryota,Chytridiomycota,acook8,animal fungal pathogen,,
Batrachochytrium,salamandrivorans,https://microbewiki.kenyon.edu/index.php/Batrachochytrium_salamandrivorans,Pathogen,Animal Host,Eukaryota,Chytridiomycota,pkollma1,Animal fungal pathogen,,
Baylisascaris,procyonis,https://microbewiki.kenyon.edu/index.php/Baylisascaris_procyonis,Pathogen,Animal host,Eukaryota,Nematoda,dguobadi,raccoon populations,,
Bdellovibrio,bacteriovorus,https://microbewiki.kenyon.edu/index.php/Bdellovibrio_bacteriovorus,Environmental Microbiome,Microbe Host,Bacteria,Proteobacteria,aohayer,,,
Bdellovibrio,exovorus,https://microbewiki.kenyon.edu/index.php/Bdellovibrio_exovorus,Bioremediation,Aquatic,Bacteria,Proteobacteria,mgregor3,,,
Beijerinckia,derxii,https://microbewiki.kenyon.edu/index.php/Beijerinckia_derxii,Extremophile,Soil,Bacteria,Proteobacteria,mgregor3,,,
Bifidobacterium,adolescentis,https://microbewiki.kenyon.edu/index.php/Bifidobacterium_adolescentis,Animal Microbiome,Animal Host,Bacteria,Actinobacteria,cseymou2,Human gastointestinal tract,,
Bifidobacterium,animalis,https://microbewiki.kenyon.edu/index.php/Bifidobacterium_animalis,Animal Microbiome,Animal Host,Bacteria,Actinobacteria,mgregor3,,,
Bifidobacterium,breve,https://microbewiki.kenyon.edu/index.php/Bifidobacterium_breve,Animal Microbiome,Animal Host,Bacteria,Actinobacteria,pkollma1,Human gastointesinal tract,,
Bifidobacterium,choerinum,https://microbewiki.kenyon.edu/index.php/Bifidobacterium_choerinum,Animal Microbiome,Animal Host,Bacteria,Actinobacteria,jotousa,,,
Bifidobacterium,dentium,https://microbewiki.kenyon.edu/index.php/Bifidobacterium_dentium,Animal Microbiome,Animal Host,Bacteria,Actinobacteria,pkollma1,Human gastointesinal tract,,
Bifidobacterium,longum,https://microbewiki.kenyon.edu/index.php/Bifidobacterium_longum,Animal Microbiome,Animal Host,Bacteria,Actinobacteria,cseymou2,Human gastrointestinal tract,,
Bilophila,wadsworthia,https://microbewiki.kenyon.edu/index.php/Bilophila_wadsworthia,Animal Microbiome,Animal Host,Bacteria ,Proteobacteria,pkollma1,Human Feces,,
Blastomyces,dermatitidis,https://microbewiki.kenyon.edu/index.php/Blastomyces_dermatitidis,Animal Microbiome,Animal Host,Eukaryote,Ascomycytes,charrin3,lung and skin,,
Blautia,Hydrogenotrophica,https://microbewiki.kenyon.edu/index.php/Blautia_Hydrogenotrophica,Animal Microbiome,Animal Host,Bacteria,Firmicutes,acook8,Animal gut,,
Bordetella,bronchiseptica,https://microbewiki.kenyon.edu/index.php/Bordetella_bronchiseptica,Pathogen,Animal Host ,Bacteria,Proteobacteria,dguobadi,cats and dogs,,
Bordetella,pertussis,https://microbewiki.kenyon.edu/index.php/Bordetella_pertussis,Pathogen,Animal Host ,Bacteria,Proteobacteria,aohayer,Resides in mostly trachea and bronchi of humans,,
Borrelia,afzelii,https://microbewiki.kenyon.edu/index.php/Borrelia_afzelii,Pathogen,Animal Host ,Bacteria,Spirochaetes,dguobadi,digestive tract of tick or fleas,,
Borrelia,burgdorferi,https://microbewiki.kenyon.edu/index.php/Borrelia_burgdorferi,Pathogen,Animal Host ,Bacteria,Spirochaetes,acook8,Transmitted by ticks,,
Borrelia,garinii,https://microbewiki.kenyon.edu/index.php/Borrelia_garinii,Pathogen,Animal Host ,Bacteria,Spirochaetes,cseymou2,Transmitted by ticks,,
Borrelia,mayonii,https://microbewiki.kenyon.edu/index.php/Borrelia_mayonii,Pathogen,Animal Host ,Bacteria,Spirochaetes,dguobadi,tick borne,,
Borrelia,recurrentis,https://microbewiki.kenyon.edu/index.php/Borrelia_recurrentis,Pathogen,Animal Host ,Bacteria,Spirochaetes,mgregor3,,,
Botryococcus,braunii,https://microbewiki.kenyon.edu/index.php/Botryococcus_braunii,Environmental Microbiome,Marine,Eukaryota,Chlorophyta,pkollma1,,,
Brachyspira,hyodysenteriae,https://microbewiki.kenyon.edu/index.php/Brachyspira_hyodysenteriae,Pathogen,Animal Host ,Bacteria,Spirochaetes,pkollma1,transmitted between pigs via feces,,
Bradyrhizobium,japonicum,https://microbewiki.kenyon.edu/index.php/Bradyrhizobium_japonicum,Rhizosphere,Soil,Bacteria,Proteobacteria,jotousa,,,
Brevibacterium,ammoniilyticum,https://microbewiki.kenyon.edu/index.php/Brevibacterium_ammoniilyticum,Bioremediation,Aquatic,Bacteria,Actinobacteria,acook8,Waste water,,
Brevibacterium,linens,https://microbewiki.kenyon.edu/index.php/Brevibacterium_linens,Environmental Microbiome,Marine,Bacteria,Actinobacteria,mgregor3,,,
Brevundimonas,diminuta,https://microbewiki.kenyon.edu/index.php/Brevundimonas_diminuta,Animal Microbiome,Animal Host ,Bacteria,Proteobacteria,jotousa,both environmental specimens (water) clinical specimens (blood),,
Brocadia,Anammoxidans,https://microbewiki.kenyon.edu/index.php/Brocadia_Anammoxidans,Environmental Microbiome,Marine,Bacteria,Planctomycetes,jotousa,,,
Brucella,abortus,https://microbewiki.kenyon.edu/index.php/Brucella_abortus,Animal Microbiome,Animal Host ,Bacteria,Proteobacteria,gmarines,zoonotic,,
Brucella,canis,https://microbewiki.kenyon.edu/index.php/Brucella_canis,Animal Microbiome,Animal Host ,Bacteria,Proteobacteria,cgreeley,Lives in the cells of dogs,,
Brucella,melitensis,https://microbewiki.kenyon.edu/index.php/Brucella_melitensis,Pathogen,Animal Host ,Bacteria,Proteobacteria,aabikoye,,,
Brucella,microti,https://microbewiki.kenyon.edu/index.php/Brucella_microti,Pathogen,Animal Host ,Bacteria,Proteobacteria,gmarines,,,
Brucella,suis,https://microbewiki.kenyon.edu/index.php/Brucella_suis,Animal Microbiome,Animal Host ,Bacteria,Proteobacteria,gmarines,"zoonotic, can be transfered to humans from pigs",,
Buchnera,aphidicola,https://microbewiki.kenyon.edu/index.php/Buchnera_aphidicola,Animal Microbiome,Animal Host ,Bacteria,Proteobacteria,bhapuara,Symbiotic relationship with aphids,,
Budvicia,aquatica,https://microbewiki.kenyon.edu/index.php/Budvicia_aquatica,Pathogen,Aquatic,Bacteria,proteobacteria,abatkoff,fresh water,,
Burkholderia,cepacia,https://microbewiki.kenyon.edu/index.php/Burkholderia_cepacia,Pathogen,Soil,Bacteria,proteobacteria,Precompleted,,,
Burkholderia,contaminans,https://microbewiki.kenyon.edu/index.php/Burkholderia_contaminans,Pathogen,Generalist,Bacteria,Proteobacteria,cgreeley,,,
Burkholderia,pseudomallei,https://microbewiki.kenyon.edu/index.php/Burkholderia_pseudomallei,Pathogen,Aquatic and Soil,Bacteria,Proteobacteria,cgreeley,Southeas Asia and Northern Australia,,
Burkholderia,xenovorans,https://microbewiki.kenyon.edu/index.php/Burkholderia_xenovorans,Environmental Microbiome,Soil,Bacteria,Proteobacteria,gmarines,,,
C.,perfringens,https://microbewiki.kenyon.edu/index.php/C._perfringens,Pathogen,Animal Host,Bacteria,Firmicutes,Precompleted,,,
C.,trachomatis,https://microbewiki.kenyon.edu/index.php/C._trachomatis,Environmental Microbiome,Animal Host,Bacteria,Firmicutes,Precompleted,,,
Caldivirga,maquilingensis,https://microbewiki.kenyon.edu/index.php/Caldivirga_maquilingensis,Extremophile,Thermophile,Archaea,Crenarchaeota,Precompleted,Hot Mud Springs,,
Calyptospora,funduli,https://microbewiki.kenyon.edu/index.php/Calyptospora_funduli,Animal Microbiome,Animal Host ,Eukaryota,Alveolata,gmarines,,,
Campylobacter,coli,https://microbewiki.kenyon.edu/index.php/Campylobacter_coli,Pathogen,Animal Host ,Bacteria,Proteobacteria,mdillon8,isolated from animals and environmental surface water,,
Campylobacter,fetus,https://microbewiki.kenyon.edu/index.php/Campylobacter_fetus,Pathogen,Animal Host ,Bacteria,Proteobacteria,mdillon8,,,
Campylobacter,jejuni,https://microbewiki.kenyon.edu/index.php/Campylobacter_jejuni,Pathogen,Animal Host ,Bacteria,Proteobacteria,mdillon8,,,
Campylobacter,lari,https://microbewiki.kenyon.edu/index.php/Campylobacter_lari,Pathogen,Animal Host ,Bacteria,Proteobacteria,gpetrosi,,,
Campylobacter,ureolyticus,https://microbewiki.kenyon.edu/index.php/Campylobacter_ureolyticus,Pathogen,Animal Host ,Bacteria,Proteobacteria,gpetrosi,,,
Candida,Krusei,https://microbewiki.kenyon.edu/index.php/Candida_Krusei,Pathogen,Animal Host ,Eukaryota,Fungi,gpetrosi,,,
Candida,albicans,https://microbewiki.kenyon.edu/index.php/Candida_albicans,Animal Microbiome,Animal Host ,Eukaryota,Fungi,gpetrosi,can form biofilm,,
Candida,blankii,https://microbewiki.kenyon.edu/index.php/Candida_blankii,Pathogen,Animal Host ,Eukaryota,Fungi,gpetrosi,also in nectar glands,,
Candida,dubliniensis,https://microbewiki.kenyon.edu/index.php/Candida_dubliniensis,Pathogen,Animal Host ,Eukaryota,Fungi,dmolik,,,
Candida,glabata,https://microbewiki.kenyon.edu/index.php/Candida_glabata,Pathogen,Animal Host ,Eukaryota,Fungi,dmolik,,,
Candida,parapsilosis,https://microbewiki.kenyon.edu/index.php/Candida_parapsilosis,Pathogen,Animal Host ,Eukaryota,Fungi,dmolik,,,
Candidatus,Cardinium,https://microbewiki.kenyon.edu/index.php/Candidatus_Cardinium,Animal Microbiome,Animal Host ,Bacteria,Bacteroidetes,dmolik,,,
Candidatus,Chloracidobacterium,https://microbewiki.kenyon.edu/index.php/Candidatus_Chloracidobacterium,Environmental Microbiome,Acidophile,Bacteria,Acidobacteria,cnkwo,hotsprings,,
